song_order,track_name,album,year,nrgm_list,form_url,date,published,song_length,spotify,apple,fb,instrumental,lyrics,lyrics_url,analysis,main_lines,tags_adjective,tags_noun,sexual_themes,pg13,cancel_target,tragic_story,escapism,antihero,lgbt,substance_abuse,lastfm_sum,lastfm_pos
1,Jos taivaalta sataisi rahaa,Single,1983,false,https://forms.gle/mNcc2DWWEy45Jn8C8,2025-02-03 06:00:00 UTC,true,265,https://open.spotify.com/track/39k1Brwr90XrtTEGGp7bGV?si=30a0971c36ae4005,https://music.apple.com/fi/album/jos-taivaalta-sataisi-rahaa/1443337047?i=1443337949&uo=4,,false,"Mä sanoin hyvästi beibi! En tule takaisin
Älä välitä, beibi. Olet mielessäni öin ja päivin

Ja kun katsoin silmiesi syvyyteen, oli katkera huomata
Kaiken taas päättyneen väärin

Sanoit luottaneesi sydämeni hyvyyteen
Olin luvannut tulla ja viedä sut maailman ääriin
Jos taivaalta sataisi rahaa

Mä sua odotan, beibi, jos tulet takaisin
Enkä välitä, beibi, vaikka odottaisin ikuisuuden

Ja vaikka kaikki muut minut petti ja jätti silti joku jaksoi odottaa
Mä sinun luokses tuun, oma tyttöni nätti, ja lupaan sua rakastaa

Vaikkei taivaalta sataisi rahaa

Mua odotit beibi ja mä tulin takaisin
Sinut menetin beibi, kun en palannutkaan aikaisemmin",https://genius.com/Leevi-and-the-leavings-jos-taivaalta-sataisi-rahaa-lyrics,"Rakkauden kaipuu ja katkeruus kietoutuvat toisiinsa, kun odotus ja lupaukset jäävät täyttymättä. Laulu kuvaa sydämen säröjä ja toivetta, vaikka taivaan lahjat eivät riitä korjaamaan menneitä virheitä.","""Jos taivaalta sataisi rahaa, vaikkei taivaalta sataisi rahaa.""","haikea, romanttinen, toiveikas, katumuksellinen, melankolinen","rakkaus, odotus, lupaus, pettymys, raha",1,1,1,2,3,2,1,1,7142,58
2,Tyttöbändi Tikittävä Torpedo,Onnen avaimet,2002,false,https://forms.gle/rHES6sKtFAjM6qSG6,2025-02-04 06:00:00 UTC,true,223,https://open.spotify.com/track/7za75npeLGm14C3Huv7wea?si=3a4668bed30e4b49,https://music.apple.com/fi/album/tytt%C3%B6b%C3%A4ndi-tikitt%C3%A4v%C3%A4-torpedo/1443418701?i=1443419900&uo=4,,false,"Yhdellä on vaan hiukset tatuoituina
Pelkkä villapaita päällä tai tosi lyhyt minihame

Toinen raivoissaan vahvistinta hajottaa
Ja kolmas oman sähköskitan heittää palavana yleisölle

Yhdellä on vaan hiukset tatuoituina
Pelkkä villapaita päällä tai tosi lyhyt minihame

Toinen raivoissaan vahvistinta hajottaa
Ja kolmas oman sähköskitan heittää palavana yleisölle

Tyttöbändi Tikittävän Torpedon
Mua ennen kai kaikki jo nähneet on
Itse kun innostun vähän hitaammin
Tulin keikalle vasta kun pyydettiin
Ja nyt istunkin jo vaimoni olkapäillä

Kun ihanaan fiilikseen antautuu
Kuin saareen kaukaiseen rantautuu

Yhdellä on vaan hiukset tatuoituina
Pelkkä villapaita päällä tai tosi lyhyt minihame

Toinen raivoissaan vahvistinta hajottaa
Ja kolmas oman sähköskitan heittää palavana yleisölle

Jossain hevibändissä sen faija on
Jonka laulaja on jo lähes karvaton
Ja eläkkeelle siirtynyt se basisti
Joka joskus kertoi olevansa rasisti
Vaikka itsekin on kai jostain ulkomailta

Kun ihanaan fiilikseen antautuu
Kuin saareen kaukaiseen rantautuu

Yhdellä on vaan hiukset tatuoituina
Pelkkä villapaita päällä tai tosi lyhyt minihame

Toinen raivoissaan vahvistinta hajottaa
Ja kolmas oman sähköskitan heittää palavana yleisölle

Ravintolabändi Flaming Flamingon
Jäsenissä myös jotakin tuttua on
Yllättäen yhden heistä tunnistan
Kitaristiksi Nauravan Saatanan
Ja toisen Tikittävän Torpedon rumpaliksi

Kun ihanaan fiilikseen antautuu
Kuin saareen kaukaiseen rantautuu

Kun ihanaan fiilikseen antautuu
Kuin saareen kaukaiseen rantautuu

Yhdellä on vaan hiukset tatuoituina
Pelkkä villapaita päällä tai tosi lyhyt minihame

Toinen raivoissaan vahvistinta hajottaa
Ja kolmas oman sähköskitan heittää palavana yleisölle

Yhdellä on vaan hiukset tatuoituina
Pelkkä villapaita päällä tai tosi lyhyt minihame

Toinen raivoissaan vahvistinta hajottaa
Ja kolmas oman sähköskitan heittää palavana yleisölle",https://genius.com/Leevi-and-the-leavings-tyttobandi-tikittava-torpedo-lyrics,"Leikkisä ja energinen kuvaus nuoren rockkulttuurin maailmasta, jossa keskiössä ovat omaperäisyys, kapina ja yhteisöllisyys. Samalla se heijastaa nostalgisia viittauksia menneisiin aikakausiin ja bändien dynamiikkaan.","""Tyttöbändi Tikittävän Torpedon / Mua ennen kai kaikki jo nähneet on.""","nokkela, energinen, kapinallinen, humoristinen, nostalginen","musiikki, bändi, keikka, muoti, kapina, identiteetti, sukupolvi",1,2,2,1,2,2,1,1,2912,140
3,Illan viimeinen tango,Single,1978,false,https://forms.gle/32f9212FpPrCYuEf6,2025-02-05 06:00:00 UTC,true,210,https://open.spotify.com/track/6ZxodUB2dRQbH0KUOtVBfF?si=e32b411be26b4fc2,https://music.apple.com/fi/album/illan-viimeinen-tango-remastered-2016/1443387827?i=1443389020&uo=4,,false,"Saanko luvan, neiti? Saanko?
Soi illan viimeinen tango
Kanssanne tahtoisin tanssia viel hetken verran
Vielä kerran tanssitaanko
Illan viimeinen tango?
Tällaisen illan voi viettää vain yhden kerran

Viel tanssilattialla pari viipyy viimeinen
Vain toisillensa aivan hiljaa kuiskien

Voi, saanko? Voi, saanko vielä joskus uudelleen?
Sun kanssas viettää illan haaveillen
Soi tango, soi tango illan viimeinen
Ja särkyneiden toiveiden

Neidin kotiin saattaa saanko?
Jälkeen viimeisen tangon
Kulkisin kanssanne kahden kuutamon siltaa
Lähemmäksi tulla saanko?
Vielä hetken soi tango
Tiedän et koskaan ei toistu tällainen ilta

Viel riippakoivun alla pari viipyy viimeinen
Vain toisillensa aivan hiljaa kuiskien",https://www.letras.com/leevi-and-the-leavings/576352/,"Illan viimeinen tango kuvaa hetkellistä, herkkää romantiikkaa, jossa tanssin myötä heräävät sekä toiveet että surumielisyys menneistä. Kaunis, mutta haikea kaipuu yhteisiin hetkiin, jotka eivät toistu.","""Soi illan viimeinen tango, kanssanne tahtoisin tanssia viel hetken verran.""","romanttinen, haikea, unelmoiva, nostalginen, intiimi","tango, ilta, pari, toive, kuutamo, tanssi",1,1,1,2,3,1,1,1,1623,198
4,Itkisitkö onnesta?,Rakkauden planeetta,1995,false,https://forms.gle/1EScP1KRHrm15Cgk6,2025-02-06 06:00:00 UTC,true,282,https://open.spotify.com/track/0ZR4vIQTcbubzYPqV1ODqD?si=eaae3e6385a54b52,https://music.apple.com/fi/album/itkisitk%C3%B6-onnesta/1443109065?i=1443110276&uo=4,,false,"Itkisitkö onnesta, jos panisin sua kunnolla?
Kun väität etten uskalla enää ajaa silmät ummessa

Kovin helposti ei kiinni saa sitä kadonnutta nuoruutta
Ja mieletöntä fiilistä, kun on ensikertaa kännissä

No ehkä elämässä tarvitsee joskus selitellä itselleen
Ja eritellä mielessään, miksi kuviot on pielessä

Kun sitä tuskin edes voi aavistaa unissaan
Kuka saa ja kenelle annetaan
Ja miten raukkamaisesti onnen anti täällä jaetaan

Se vituttaa ei saa, sut vaikka kantapaikasta kannetaan
Ulos asti rauhoittumaan, kun hakemalla syitä haetaan

Se luoti tuli oviaukosta, ohiajavasta autosta
Otti kitarasta kimmokkeen ja osui portsaria pohkeeseen

Ja vaikka alle varttitunnissa oli virkavalta paikalla
Ja koko kylä saatiin saarroksiin, kun tekijätkin tiedettiin

Ei löydetty kuin pelkkä rämisevä peltisanko täynnä luodinreikiä
Ja bussipysäkiltä kylmissään sen tyttöystävä kassi kädessään

En tiedä yritinkö ollenkaan edes painaa jarrupoljinta
Vai unohdinko jarruttaa siinä sohjoisessa kaarteessa

Mä olen pahoillani kaikesta, mua turha pahalla on muistella
Vastaantulijoiden kaistalla on vittumaista luistella

Kun sitä tuskin edes voi aavistaa unissaan
Kuka saa ja kenelle annetaan
Ja miten raukkamaisesti onnen anti täällä jaetaan

Se vituttaa ei saa, sut vaikka kantapaikasta kannetaan
Ulos asti rauhoittumaan, kun hakemalla syitä haetaan

Mutta mitään älä tunnusta, älä kerro edes vauvasta
Kukaan kuitenkaan ei ymmärrä mitä koettu on yhdessä

Mä kortin lupaan postittaa jostain vähän kauempaa
Jos sitä perille en muuten saa, sen tuuli sulle kuljettaa

Itkisitkö onnesta?",https://genius.com/Leevi-and-the-leavings-itkisitko-onnesta-lyrics,"Omaperäinen pohdinta onnen, menneisyyden ja elämän sattumanvaraisuuden ympärillä. Laulu käsittelee nuoruuden kadottamista ja elämän kaoottisuutta, samalla kysyen, voiko todellinen onni koskaan olla saavutettavissa.","""Itkisitkö onnesta, jos panisin sua kunnolla?""","sarkastinen, melankolinen, ironinen, pohdiskeleva, kyyninen","nuoruus, onni, väkivalta, parisuhde, syyllisyys, kohtalo, rikos, yhteiskunta",3,3,3,3,2,2,1,2,28863,6
5,Tiskirätti,Bulebule,2000,false,https://forms.gle/YDpoNnuPPq9vKFEw9,2025-02-07 06:00:00 UTC,true,212,https://open.spotify.com/track/4TywXK7lOtF5eushdYSuUt?si=187ad62ef5234ddb,https://music.apple.com/fi/album/tiskir%C3%A4tti/1443370101?i=1443370115&uo=4,,false,"Pesualtaan putket vuotavat
Ja ne on tukossa
Se huusi vessasta aamulla Karvinen-yöppärissään
Ovi lukossa

Mitä maksaa hiustenkuivaaja
Tai höyrykiharrin
Ja jos mun mies jaksaa siitäkin hinnasta riehua, sen
Toiseen vaihtaisin

Pala kauneinta kangasta
Roikkuu ämpärin sangasta
Se mun nykyinen
Imukykyinen
Ja jos mä pidän sua nättinä
Enkä vaan tiskirättinä
Ootko onnellinen
Ja uskotko sen

Eihän mies kai muuta tarvitse
Kuin huolenpitoa
Ja että aamulla ehdit ne kengät taas kiillottaa
Ja nauhat sitoa

Mitä maksaa metri makkaraa
Ja kori olutta
Se kysyy K-kaupan kassalta turhankin tietämätön
Ilme kasvoillaan

Pala kauneinta kangasta
Roikkuu ämpärin sangasta
Se mun nykyinen
Imukykyinen
Ja jos mä pidän sua nättinä
Enkä vaan tiskirättinä
Ootko onnellinen
Ja uskotko sen

Kenenkään ei tietää tarvitse
Mä miten kuristan
Ja tartun työmiehen kourilla naiseen kuin piimälimppuun
Ja vähän puristan

Mitä maksaa hetki onnea
Tai kyky unohtaa
Se kaikki muu mistä koskaan ei kotona kerrottu, ei
Ääneen ainakaan

Pala kauneinta kangasta
Roikkuu ämpärin sangasta
Se mun nykyinen
Imukykyinen
Ja jos mä pidän sua nättinä
Enkä vaan tiskirättinä
Ootko onnellinen
Ja uskotko sen

Ootko onnellinen
Ja uskotko sen",https://genius.com/Leevi-and-the-leavings-tiskiratti-lyrics,"Arjen haasteet ja pettymykset kietoutuvat leikkisästi suhteeseen, jossa nainen kamppailee itsensä ja roolinsa hyväksymisessä, kysyen, onko hän vain hyödyllinen 'tiskirätti' vai jotain enemmän.","""Ja jos mä pidän sua nättinä / Enkä vaan tiskirättinä / Ootko onnellinen / Ja uskotko sen""","sarkastinen, humoristinen, kriittinen, ironinen, arkinen","suhteet, kotityöt, parisuhde, arki, tyytymättömyys",2,2,3,3,2,3,1,2,2748,154
6,Etkö näe että tanssin,Single,1989,false,https://forms.gle/aVkPGqYL981FG6uX7,2025-02-08 06:00:00 UTC,true,261,"","",,false,"Etkö näe, että tanssin?
Etkö näe, että tanssin?

Vaikka housuille on oksenneltu
Ja kainaloista tulvii tuoksu hien
Hiukset takkuiset kuin kaurapelto
Kättäni kun hameen alle vien

Jos sä rakastat mua, oikein rakastat mua
Jos sä voisit olla se nainen
Se oma unelmanainen ja et lähde pois
Jos se todellista olla vois
Niin uudelleen, uudelleen tanssittu yhdessä ois

Etkö näe, että tanssin?
Älä viitsi katsoa mua noin
Etkö näe, että tanssin?
Eikö riitä, kun viimeksi liikaa join

Jos sä rakastat mua, oikein rakastat mua
Jos sä voisit olla se nainen
Se oma unelmanainen ja et lähde pois

Etkö näe, että tanssin?",https://genius.com/Leevi-and-the-leavings-etko-nae-etta-tanssin-lyrics,"Kohottava ja itseironinen kuvaus epäonnistuneista hetkistä, joissa tanssi symboloi sekä iloa että häilyvää rakkautta. Taustalla kytee kaipaus ja todellisuuden karuus.","""Etkö näe, että tanssin? / Eikö riitä, kun viimeksi liikaa join""","ironinen, humoristinen, epätoivoinen, rehellinen, itseironinen","rakkaus, ihmissuhteet, tanssi, unelmat, humala",3,3,2,2,3,2,1,3,1081,204
7,Herra presidentti käy kuvauttamassa itsensä ja näkee unenomaisessa näyssä vanhan äitinsä,Mies joka toi rock ’n’ rollin Suomeen,1981,false,https://forms.gle/3g1fHMQVNNqCN6fL9,2025-02-09 06:00:00 UTC,true,69,https://open.spotify.com/track/3fNeUklZ7BwDU5pzOXk2kN?si=7104f2bc46b14dbc,https://music.apple.com/fi/album/herra-presidentti-k%C3%A4y-valokuvauttamassa-itsens%C3%A4-ja/1442353299?i=1442353920&uo=4,,true,"","",Laulu on instrumentaali,Laulu on instrumentaali,"","",,,,,,,,,1383,200
8,Matkalla Motowniin,Käärmenäyttely,1996,false,https://forms.gle/KFH4mavjveRG9Z2K7,2025-02-10 06:00:00 UTC,true,256,https://open.spotify.com/track/2Cdrm8Df2HLP4fwG1Sh248?si=74c24d09c0d34174,https://music.apple.com/fi/album/matkalla-motowniin/1443109065?i=1443109884&uo=4,,false,"Meidän mutsi on levoton strutsi
Kun hommiaan se hoitelee
Ja saunanlauteilla yrttihauteilla
Vartaloaan voitelee

Kun on seikkailumieltä ja haisee hieltä
Vaikka kotona vain lusiikin
Niin vailla paineita, puhdistusaineita
Voi löytää Motown-musiikin

Ja pihvinuijaksi käy vellikauha
Spagetiksi pelkkä kanttinauha
Säilyy järkkymätön mielenrauha
Kun ei piittaa riskeistä

Puuterihuisku tai märkä muisku
Joskus poskelle voi mäjähtää
Kun kesken keittelyn, lautasten heittelyn
Keittiössä räjähtää

Siinä väännetään itkut ja kastikkeen litkut
Taas kun broileri on karrellaan
Mutta hymyillen vienosti tilanteen hienosti
Voi hoitaa sananparrella

Voi kakun koristeeksi saippuaa vuolla
Ja ruokamyrkytykseen kaikki kuolla
Kun jälkiruuaksi saa lautaset nuolla
Niin päästään tiskeistä

Meidän äiskä on huippuhäiskä
Kun hommiaan se hoitelee
Ja saunanlauteilla yrttihauteilla
Vartaloaan voitelee

Kun on seikkailumieltä ja haisee hieltä
Vaikka kotona vain lusiikin
Niin vailla paineita, puhdistusaineita
Voi löytää Motown-musiikin
Motown-musiikin

Puuterihuisku tai märkä muisku
Joskus poskelle voi mäjähtää
Kun kesken keittelyn, lautasten heittelyn
Keittiössä räjähtää

Siinä väännetään itkut ja kastikkeen litkut
Taas kun broileri on karrellaan
Mutta hymyillen vienosti tilanteen hienosti
Voi hoitaa sananparrella
Sananparrella

Meidän mutsi on levoton strutsi
Kun hommiaan se hoitelee
Ja saunanlauteilla yrttihauteilla
Vartaloaan voitelee

Kun on seikkailumieltä ja haisee hieltä
Vaikka kotona vain lusiikin
Niin vailla paineita, puhdistusaineita
Voi löytää Motown-musiikin
Motown-musiikin",https://genius.com/Leevi-and-the-leavings-matkalla-motowniin-lyrics,"Hauska ja leikkisä kuvaus kodin kaaoksesta, jossa äidin energisyys ja huumori luovat lämpöä arkeen. Motown-musiikki toimii taustana seikkailuille ja elämän pienille epäonnistumisille.","""Kun on seikkailumieltä ja haisee hieltä, vaikka kotona vain lusiikin, niin vailla paineita, puhdistusaineita voi löytää Motown-musiikin.""","humoristinen, rento, nokkela, arkinen, leikkisä","perhe, koti, musiikki, ruoanlaitto, arki, äiti",1,1,1,1,3,1,1,1,10808,40
9,Rei Ban Bombay,Rakkauden planeetta,1995,false,https://forms.gle/9uxKFGkurCuQcKNv5,2025-02-11 06:00:00 UTC,true,288,https://open.spotify.com/track/6ANxCWEfuVYi0tBSCItZdG?si=2396a11e2b754b2b,https://music.apple.com/fi/album/rei-ban-bombay/1443383737?i=1443384063&uo=4,,false,"Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram

Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa

Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna Domindaa

Mä sulan lanteen keinahdukseen
Sun jalan alla miehet maata palvoo
Mä huuliltas luin viestin;
No mikä ettei

Yhtä tunnen tujotuksen
Kun vielä kolmas silmä yötä valvoo
Kun häikäisyn voi estää Rei Ban Bombay

Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram
Sri ram sri ram sri sri ram

Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna Domindaa

Mä sulan lanteen keinahdukseen
Sun jalan alla miehet maata palvoo
Mä huuliltas luin viestin;
No mikä ettei

Yhtä tunnen tujotuksen
Kun vielä kolmas silmä yötä valvoo
Kun häikäisyn voi estää Rei Ban Bombay

Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna
Krishna Krishna Krishna
Krishna Krishna Krishna Domindaa
Krishna Krishna Krishna Domindaa",https://genius.com/Leevi-and-the-leavings-rei-ban-bombay-lyrics,"Eksoottinen yhdistelmä itämaista mystiikkaa ja suomalaisen popmusiikin leikillisyyttä, jossa rakkaus ja halu sulautuvat rytmiin kuin tanssi, ja kaikki tapahtuu ""Rei Ban Bombay"" -maailmassa.","""Mä sulan lanteen keinahdukseen / Sun jalan alla miehet maata palvoo""","mystinen, hengellinen, hypnoottinen, eksoottinen","jumaluus, palvonta, tanssi, viestintä, valaistuminen",2,2,1,1,2,1,1,1,2788,150
10,Usein iltaisin,Käärmenäyttely,1996,false,https://forms.gle/x1B6FPMcon5Lktf88,2025-02-12 06:00:00 UTC,true,195,https://open.spotify.com/track/0Z7LLZWEceAnISQPbPjaRn?si=4bb3c60a44fc414f,https://music.apple.com/fi/album/usein-iltaisin/1443398667?i=1443399289&uo=4,,false,"Taas katse kiinnittyä sai
Sun silkkisten pöksyjesi viiltoon
Ja hullaantua huuliesi kiiltoon

Usein iltaisin
Kun olet kaikki mitä haluaisin
Mun tekee mieli olla mies

Ei pelkkä eritteiden vaihto
Riitä kun keinuessa kiikun
Edestakaisin kuin satimessa liikun

Usein iltaisin
Kun tiedän tarkkaan mitä haluaisin
Kuin vanha koira luuta kaluaisin
Ja purtavaksi leikkikalun saisin
Mun tekee mieli olla mies

Sun lantiosi kurvikkaan
Ansiosta luonto meissä toimii
Kuin uskoisi korkeampiin voimiin

Usein iltaisin
Kun tiedän tarkkaan mitä haluaisin
Kuin vanha koira luuta kaluaisin
Ja purtavaksi leikkikalun saisin
Mun tekee mieli olla mies

Usein iltaisin

Mun tekee mieli olla mies",https://lyrics.az/leevi-and-the-leavings/kaarmenayttely/usein-iltaisin.html,"Leikkisä ja sensuelli kuvaus miehen haluista, jossa yhdistyvät fyysisyys ja romanttiset kaipuudet. Illat herättävät voimakkaita tunteita ja haluja, sekä kaipauksen syvyyksiä.","""Usein iltaisin / Kun olet kaikki mitä haluaisin / Mun tekee mieli olla mies.""","romanttinen, kaipuullinen, aistillinen, intensiivinen, himokas","suhde, halu, ilta, keho, kaipuu",3,2,2,1,2,2,1,1,2225,187
